table_name;column_name;data_type;country;admlevel;pcode_col;name_col;pcode_parent;name_parent;pop_col
afg_adm1_mapshaper;gid;integer;afg;1;;;;;
afg_adm1_mapshaper;area_sqm;double precision;afg;1;;;;;
afg_adm1_mapshaper;area_sqkm;double precision;afg;1;;;;;
afg_adm1_mapshaper;r_unama_id;character varying;afg;1;;;;;
afg_adm1_mapshaper;r_unama_en;character varying;afg;1;;;;;
afg_adm1_mapshaper;r_unama_da;character varying;afg;1;;;;;
afg_adm1_mapshaper;prov_code;bigint;afg;1;;;;;
afg_adm1_mapshaper;prov_na_en;character varying;afg;1;;;;;
afg_adm1_mapshaper;prov_na_da;character varying;afg;1;;;;;
afg_adm1_mapshaper;hrpcode;character varying;afg;1;hrpcode;;;;
afg_adm1_mapshaper;hrparent;character varying;afg;1;;;hrparent;;
afg_adm1_mapshaper;hrname;character varying;afg;1;;hrname;;;
afg_adm1_mapshaper;geom;USER-DEFINED;afg;1;;;;;
afg_adm2_mapshaper;gid;integer;afg;2;;;;;
afg_adm2_mapshaper;area_sqm;double precision;afg;2;;;;;
afg_adm2_mapshaper;area_sqkm;double precision;afg;2;;;;;
afg_adm2_mapshaper;r_unama_id;character varying;afg;2;;;;;
afg_adm2_mapshaper;r_unama_en;character varying;afg;2;;;;;
afg_adm2_mapshaper;r_unama_da;character varying;afg;2;;;;;
afg_adm2_mapshaper;prov_code;bigint;afg;2;;;;;
afg_adm2_mapshaper;prov_na_en;character varying;afg;2;;;;;
afg_adm2_mapshaper;prov_na_da;character varying;afg;2;;;;;
afg_adm2_mapshaper;dist_code;bigint;afg;2;;;;;
afg_adm2_mapshaper;dist_na_en;character varying;afg;2;;;;;
afg_adm2_mapshaper;dist_na_da;character varying;afg;2;;;;;
afg_adm2_mapshaper;unit_type;character varying;afg;2;;;;;
afg_adm2_mapshaper;hrpcode;character varying;afg;2;hrpcode;;;;
afg_adm2_mapshaper;hrparent;character varying;afg;2;;;hrparent;;
afg_adm2_mapshaper;hrname;character varying;afg;2;;hrname;;;
afg_adm2_mapshaper;geom;USER-DEFINED;afg;2;;;;;
bdi_adm1_mapshaper;gid;integer;bdi;1;;;;;
bdi_adm1_mapshaper;p_code;character varying;bdi;1;p_code;;;;
bdi_adm1_mapshaper;name1_;character varying;bdi;1;;name1_;;;
bdi_adm1_mapshaper;name2_;character varying;bdi;1;;;;;
bdi_adm1_mapshaper;parts_;integer;bdi;1;;;;;
bdi_adm1_mapshaper;points_;integer;bdi;1;;;;;
bdi_adm1_mapshaper;length_;double precision;bdi;1;;;;;
bdi_adm1_mapshaper;area_;double precision;bdi;1;;;;;
bdi_adm1_mapshaper;geom;USER-DEFINED;bdi;1;;;;;
bdi_adm2_mapshaper;gid;integer;bdi;2;;;;;
bdi_adm2_mapshaper;province;character varying;bdi;2;;province;;;
bdi_adm2_mapshaper;p_code;character varying;bdi;2;p_code;;;;
bdi_adm2_mapshaper;country;character varying;bdi;2;;;;;
