country;country_code;admin_level;local_name;pcode_col;name_col;pcode_parent_col;name_parent_col;population_col;link;filter
Sri Lanka;LKA;2;Districts;district_c;district_n;province_c;;;https://data.humdata.org/dataset/5ed05f6e-556f-4545-918a-a5b679386ee9/resource/bcc9d500-3895-4262-8e6f-9eb3b652d931/download/lka_pop_censusproj2022adm2_wfpocha.zip;0
Sri Lanka;LKA;3;DSDs;dsd_c;dsd_n;district_1;;;https://data.humdata.org/dataset/fa50efee-3fd9-412c-99e1-3a8b8759299e/resource/d102324b-be2b-4c17-a153-732a0db59f5d/download/lka_pop_censusproj2022adm3_wfpocha.zip;0
Sri Lanka;LKA;4;GNDs;gn_uid;gnd_n;dsd_c;;tot_pop;https://data.humdata.org/dataset/e2f40579-d9fc-4515-ba66-f2ba43e693a6/resource/6ab35368-024d-4cca-b098-e71ed70fed14/download/lka_pop_censusproj2022adm4_wfpocha.zip;0
Afghanistan;AFG;1;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/84fbac2d-5e21-4fa6-ac28-f35db4f40313/resource/df238fc3-6bff-448c-9111-ffbbf2d5446a/download/afg_admbnd_adm1_pol_shp.zip;0
Afghanistan;AFG;2;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/84fbac2d-5e21-4fa6-ac28-f35db4f40313/resource/0cd36601-b253-41ef-8f80-653caa978743/download/afg_admbnd_adm2_pol_shp.zip;0
Bahamas;BHS;1;;;;;;;http://data.humdata.org/dataset/692fc891-1e44-4413-9e88-999349c86ca7/resource/d521054d-7272-4368-abf2-8a5d9f2b2ae7/download/BHS_adm1_GDAMS_2009.zip;0
Bahrain;BHR;1;;;;;;;http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/ed1d62a1-92f1-4105-b647-85e90362c59b/download/Boundaries_Bahrain_1_GAUL.zip;0
Bahrain;BHR;2;;;;;;;http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/4fdec9b0-ad6d-4981-8a8b-f4af6f4a5b23/download/Boundaries_Bahrain_2_GAUL.zip;0
Bangladesh;BGD;3;;upzcode;upazila;;district;;http://data.humdata.org/dataset/01f31180-84ef-44ca-a561-4ac62c6a61c4/resource/2d332b10-fdfd-4721-ac19-e3dec9166a7b/download/bgd_bnd_admin3_bbs.zip;0
Bangladesh;BGD;2;;disgeocode;district;;division;;http://data.humdata.org/dataset/fa7e044e-76ac-4363-8231-64d15ca93d46/resource/f48ee835-24bb-4016-87a3-ab6c2f010287/download/bgd_bnd_admin2_bbs.zip;0
