,adm,country,link
0,99,Cameroon,http://data.humdata.org/dataset/b13f08ef-92ee-4446-9b0a-e219f5c25415/resource/4e6ad65c-c51e-43fd-8722-e4e37a023bda/download/CMR_adm0_1m.zip
0,99,Cameroon,http://data.humdata.org/dataset/b13f08ef-92ee-4446-9b0a-e219f5c25415/resource/20046324-ca41-4a5c-a010-d45ac356015a/download/CMR_ADMIN-1_SALB.ZIP
0,99,Cameroon,http://data.humdata.org/dataset/b13f08ef-92ee-4446-9b0a-e219f5c25415/resource/bf8b865f-8f17-405e-9e48-8ca25ddf9bd5/download/CMR-ADMIN-2_SALB.ZIP
0,99,Cote d'Ivoire,http://data.humdata.org/dataset/f1f0cfa1-afec-40a2-8390-a084e66a3377/resource/2e99a98d-9d02-4ca8-bc87-6578330a39b6/download/civ_admbnda_adm0_cntig_20160527.zip
0,99,Cote d'Ivoire,http://data.humdata.org/dataset/f1f0cfa1-afec-40a2-8390-a084e66a3377/resource/cc7b5423-0de1-41a4-b39b-4d4f75f890ab/download/civ_admbnda_adm1_cntig_20160527.zip
0,99,Cote d'Ivoire,http://data.humdata.org/dataset/f1f0cfa1-afec-40a2-8390-a084e66a3377/resource/66cfc1f8-0c96-4212-bb5c-b063ddf1be6a/download/civ_admbnda_adm2_cntig_20160527.zip
0,99,Cote d'Ivoire,http://data.humdata.org/dataset/f1f0cfa1-afec-40a2-8390-a084e66a3377/resource/7b723d78-13bd-419f-a5e5-577c9646b89f/download/civ_admbnda_adm3_cntig_20160527.zip
0,99,Haiti,http://data.humdata.org/dataset/777e8b06-337f-4295-80bc-ca1515244215/resource/365e497c-9ba6-4107-8012-a43e27195601/download/hti_admnbnda_adm0_CNIGS2013.zip
0,99,Haiti,http://data.humdata.org/dataset/777e8b06-337f-4295-80bc-ca1515244215/resource/61113b50-02c1-4288-8d45-f3aad32a5fae/download/hti_admnbnda_adm1_CNIGS2013.zip
0,99,Haiti,http://data.humdata.org/dataset/777e8b06-337f-4295-80bc-ca1515244215/resource/d80f2b3e-71b5-4705-8ff4-21f28e839fac/download/hti_admnbnda_adm2_CNIGS2013.zip
0,99,Haiti,http://data.humdata.org/dataset/777e8b06-337f-4295-80bc-ca1515244215/resource/2b277d37-b4c7-4dea-923c-6e65d3cfa1e2/download/hti_admnbnda_adm3_CNIGS2013.zip
0,99,Central African Republic,http://data.humdata.org/dataset/853bc4cc-55bb-4d00-8c63-a28fc1f130f5/resource/f96660ce-7e0a-4ea7-8673-11f4f107173e/download/Administratives-levels-4.zip
0,99,Libya,http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/132a6988-cb41-4b46-883f-ea53d94cf8bd/download/Lby_Adm0_Country.zip
0,99,Libya,http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/8b9ba98c-8d50-4c1c-bf37-8edde91bf33c/download/Lby_Adm1_Geodivision.zip
0,99,Libya,http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/c3a9343c-0181-4beb-9ce3-461823b0f5d7/download/Lby_Adm2_Mantika.zip
0,99,Libya,http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/b0342205-3a2a-4002-b5c7-e776aaac8831/download/Lby_Adm3_Baladiya.zip
0,99,Libya,http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/03f5926d-3a78-4bd9-9df4-fbf79a53fa93/download/Lby_Adm4_Muhalla.zip
0,99,Libya,http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/b2d58653-67fd-452b-b733-a383e42943b3/download/Capitals.zip
