;adm;country;link;name;filter
0;0;Afghanistan;http://data.humdata.org/dataset/84fbac2d-5e21-4fa6-ac28-f35db4f40313/resource/59d75303-71d8-4973-ab5e-aa51bc9c69f6/download/afg_admbnd_adm0_pol_shp.zip;afg_admbnd_adm0_pol_shp.zip;#N/A
0;1;Afghanistan;http://data.humdata.org/dataset/84fbac2d-5e21-4fa6-ac28-f35db4f40313/resource/df238fc3-6bff-448c-9111-ffbbf2d5446a/download/afg_admbnd_adm1_pol_shp.zip;afg_admbnd_adm1_pol_shp.zip;#N/A
0;2;Afghanistan;http://data.humdata.org/dataset/84fbac2d-5e21-4fa6-ac28-f35db4f40313/resource/0cd36601-b253-41ef-8f80-653caa978743/download/afg_admbnd_adm2_pol_shp.zip;afg_admbnd_adm2_pol_shp.zip;#N/A
0;;Afghanistan;http://data.humdata.org/dataset/84fbac2d-5e21-4fa6-ac28-f35db4f40313/resource/7b3145fb-6c1d-4656-8991-7b362a1da452/download/afg_admbnd_reg_UNAMA_pol_shp.zip;afg_admbnd_reg_UNAMA_pol_shp.zip;#N/A
0;;Afghanistan;http://data.humdata.org/dataset/84fbac2d-5e21-4fa6-ac28-f35db4f40313/resource/cd6e87cc-59e8-4886-9d59-fb6b1d21f606/download/afg_admbnd_adm0_2_lin_shp.zip;afg_admbnd_adm0_2_lin_shp.zip;#N/A
0;0;Bahamas;http://data.humdata.org/dataset/692fc891-1e44-4413-9e88-999349c86ca7/resource/b2eac0ef-2d9f-4fa8-9978-e6b762c3143e/download/BHS_adm0_gdams_2009.zip;BHS_adm0_gdams_2009.zip;0
0;1;Bahamas;http://data.humdata.org/dataset/692fc891-1e44-4413-9e88-999349c86ca7/resource/d521054d-7272-4368-abf2-8a5d9f2b2ae7/download/BHS_adm1_GDAMS_2009.zip;BHS_adm1_GDAMS_2009.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'id_0', 'data_type': 'numeric'}, {'field_name': 'iso', 'data_type': 'character varying'}, {'field_name': 'name_0', 'data_type': 'character varying'}, {'field_name': 'id_1', 'data_type': 'numeric'}, {'field_name': 'name_1', 'data_type': 'character varying'}, {'field_name': 'varname_1', 'data_type': 'character varying'}, {'field_name': 'nl_name_1', 'data_type': 'character varying'}, {'field_name': 'hasc_1', 'data_type': 'character varying'}, {'field_name': 'cc_1', 'data_type': 'character varying'}, {'field_name': 'type_1', 'data_type': 'character varying'}, {'field_name': 'engtype_1', 'data_type': 'character varying'}, {'field_name': 'validfr_1', 'data_type': 'character varying'}, {'field_name': 'validto_1', 'data_type': 'character varying'}, {'field_name': 'remarks_1', 'data_type': 'character varying'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
0;0;Bahrain;http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/6b11ac4e-2ef7-4ec4-a1ea-006c7c85ded0/download/Boundaries_Bahrain_0_GAUL.zip;Admin 0;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'objectid', 'data_type': 'numeric'}, {'field_name': 'area', 'data_type': 'character varying'}, {'field_name': 'perimeter', 'data_type': 'character varying'}, {'field_name': 'g2006_0_', 'data_type': 'character varying'}, {'field_name': 'g2006_0_id', 'data_type': 'character varying'}, {'field_name': 'adm0_code', 'data_type': 'character varying'}, {'field_name': 'adm0_name', 'data_type': 'character varying'}, {'field_name': 'last_updat', 'data_type': 'character varying'}, {'field_name': 'continent', 'data_type': 'character varying'}, {'field_name': 'region', 'data_type': 'character varying'}, {'field_name': 'salb0', 'data_type': 'character varying'}, {'field_name': 'str_year0', 'data_type': 'character varying'}, {'field_name': 'exp_year0', 'data_type': 'character varying'}, {'field_name': 'short_name', 'data_type': 'character varying'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'status', 'data_type': 'numeric'}, {'field_name': 'cd_name', 'data_type': 'character varying'}, {'field_name': 'names_arab', 'data_type': 'character varying'}, {'field_name': 'shape_le_1', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
0;1;Bahrain;http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/ed1d62a1-92f1-4105-b647-85e90362c59b/download/Boundaries_Bahrain_1_GAUL.zip;Admin 1;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'area', 'data_type': 'character varying'}, {'field_name': 'perimeter', 'data_type': 'character varying'}, {'field_name': 'g2006_1_', 'data_type': 'character varying'}, {'field_name': 'g2006_1_id', 'data_type': 'character varying'}, {'field_name': 'adm1_code', 'data_type': 'character varying'}, {'field_name': 'adm0_code', 'data_type': 'character varying'}, {'field_name': 'adm0_name', 'data_type': 'character varying'}, {'field_name': 'adm1_name', 'data_type': 'character varying'}, {'field_name': 'last_updat', 'data_type': 'character varying'}, {'field_name': 'continent', 'data_type': 'character varying'}, {'field_name': 'region', 'data_type': 'character varying'}, {'field_name': 'salb1', 'data_type': 'character varying'}, {'field_name': 'salb0', 'data_type': 'character varying'}, {'field_name': 'str_year0', 'data_type': 'character varying'}, {'field_name': 'str_year1', 'data_type': 'character varying'}, {'field_name': 'exp_year0', 'data_type': 'character varying'}, {'field_name': 'exp_year1', 'data_type': 'character varying'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
0;2;Bahrain;http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/4fdec9b0-ad6d-4981-8a8b-f4af6f4a5b23/download/Boundaries_Bahrain_2_GAUL.zip;Admin 2;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'area', 'data_type': 'character varying'}, {'field_name': 'perimeter', 'data_type': 'character varying'}, {'field_name': 'g2006_2_', 'data_type': 'character varying'}, {'field_name': 'g2006_2_id', 'data_type': 'character varying'}, {'field_name': 'adm2_code', 'data_type': 'character varying'}, {'field_name': 'adm0_code', 'data_type': 'character varying'}, {'field_name': 'adm0_name', 'data_type': 'character varying'}, {'field_name': 'adm1_name', 'data_type': 'character varying'}, {'field_name': 'adm1_code', 'data_type': 'character varying'}, {'field_name': 'adm2_name', 'data_type': 'character varying'}, {'field_name': 'last_updat', 'data_type': 'character varying'}, {'field_name': 'continent', 'data_type': 'character varying'}, {'field_name': 'region', 'data_type': 'character varying'}, {'field_name': 'salb1', 'data_type': 'character varying'}, {'field_name': 'salb2', 'data_type': 'character varying'}, {'field_name': 'salb0', 'data_type': 'character varying'}, {'field_name': 'str_year0', 'data_type': 'character varying'}, {'field_name': 'str_year1', 'data_type': 'character varying'}, {'field_name': 'str_year2', 'data_type': 'character varying'}, {'field_name': 'exp_year0', 'data_type': 'character varying'}, {'field_name': 'exp_year1', 'data_type': 'character varying'}, {'field_name': 'exp_year2', 'data_type': 'character varying'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
